video,duration
0_1310,3.5
10_1844,2.73
12_0595,15.1
13_1026,5.2
15_1260,7.6
1_0218,4.29
2_0681,3.5
5_0733,2.4299999999999997
7_0414,12.1
8_0971,2.34
0_0187,2.8
10_1907,5.066666666666666
11_1940,11.6
1_0235,0.76
2_0713,5.8500000000000005
3_0876,3.5999999999999996
4_0929,5.25
5_1044,2.1
7_1425,1.3299999999999998
8_1441,2.772727272727273
0_1282,3.9
10_1924,1.2
11_0483,15.08
12_1660,4.140000000000001
13_1666,15.033333333333333
14_1667,11.5
1_0344,1.4
2_1935,1.4
3_0366,13.033333333333333
4_0035,2.4
5_1157,7.919999999999999
6_1311,1.6
7_1683,2.0
8_1692,2.4
9_1285,5.319999999999999
0_1375,2.0
1_1422,15.12
2_0395,4.0
3_0025,2.3
4_1964,15.2
5_0137,2.52
6_0687,5.48
7_1779,5.266666666666667
8_0190,2.88
9_1172,15.0
0_0688,12.4
1_1032,1.6
2_1034,5.0
3_2034,2.4
4_1938,3.06
5_0380,3.92
6_1953,5.0
7_0593,15.0
8_1712,4.0
9_1363,2.0
0_1959,6.159999999999999
10_0611,10.066666666666666
12_1587,10.8
13_0673,1.24
15_1485,4.41
2_1259,2.4
3_0975,5.22
6_0059,2.4
8_0226,4.62
9_1164,2.12
0_0509,13.2
10_1234,10.709999999999999
1_0976,2.0
2_1277,7.2
3_1433,10.68
4_1436,4.5
5_0468,2.08
6_0602,4.8
7_1002,7.28
9_1899,6.84
